plant_id,trt,shoots,ht,lvs,total_la,flrs,dev_frts,frts_collected,sds_collected,sds_per_frt,yr,mo
110,fert_pollen,4,62,NA,1335.8848,23,0,NA,NA,NA,1998,01
112,fert,5,65,NA,2445.3937,17,0,NA,NA,NA,1998,01
113,control,4,90,NA,2935.12359,23,0,NA,NA,NA,1998,01
114,fert_pollen,3,NA,NA,1584.16748,20,0,NA,NA,NA,1998,01
121,fert_pollen,4,54,NA,1231.459604,12,0,NA,NA,NA,1998,01
124,control,4,69,NA,1700.18639,20,0,NA,NA,NA,1998,01
125,control,2,64,NA,713.1197000000001,8,0,NA,NA,NA,1998,01
127,fert,6,61,NA,2808.1131809999997,19,0,NA,NA,NA,1998,01
131,fert_pollen,4,63,NA,1558.6984,11,0,NA,NA,NA,1998,01
132,control,2,74,NA,1012.6362,17,0,NA,NA,NA,1998,01
133,fert_pollen,4,78,NA,2995.3851,8,0,NA,NA,NA,1998,01
134,pollen,NA,109,NA,3542.68627,19,0,NA,NA,NA,1998,01
141,control,6,80,NA,2473.573316,20,0,NA,NA,NA,1998,01
145,pollen,5,NA,NA,2168.84528,17,0,NA,NA,NA,1998,01
146,fert,8,102,NA,4384.2990549999995,6,0,NA,NA,NA,1998,01
147,pollen,6,58,NA,1245.3602,11,0,NA,NA,NA,1998,01
155,fert_pollen,3,74,NA,2255.345786,23,0,NA,NA,NA,1998,01
156,control,5,67,NA,2481.6751400000003,14,0,NA,NA,NA,1998,01
158,control,1,70,NA,999.7265600000001,16,0,NA,NA,NA,1998,01
161,fert_pollen,4,88,NA,2292.3472300000003,16,0,NA,NA,NA,1998,01
162,pollen,2,71,NA,1349.002495,11,0,NA,NA,NA,1998,01
180,fert,4,81,NA,2636.3471839999997,17,0,NA,NA,NA,1998,01
181,control,3,72,NA,1453.866254,17,0,NA,NA,NA,1998,01
184,fert,4,72,NA,2259.603922,13,0,NA,NA,NA,1998,01
188,pollen,2,82,NA,1788.52959,9,0,NA,NA,NA,1998,01
196,pollen,10,96,NA,4845.602385,27,0,NA,NA,NA,1998,01
200,control,4,54,NA,1530.3017,17,0,NA,NA,NA,1998,01
202,fert_pollen,3,63,NA,1492.401969,19,0,NA,NA,NA,1998,01
203,control,3,80,NA,1498.5502600000002,15,0,NA,NA,NA,1998,01
209,pollen,2,131,NA,3171.6944000000003,0,0,NA,NA,NA,1998,01
211,fert,3,58,NA,1675.300828,11,0,NA,NA,NA,1998,01
212,fert,4,78,NA,2519.96,11,0,NA,NA,NA,1998,01
163,fert,4,114,NA,2646.5183,23,1,1,1,1,1998,01
186,fert,4,83,NA,2497.032588,18,1,1,1,1,1998,01
199,pollen,9,67,NA,1995.100279,15,1,1,1,1,1998,01
206,control,3,70,NA,1740.4003200000002,19,1,1,1,1,1998,01
210,fert,3,79,NA,1896.11326,18,1,1,1,1,1998,01
99,fert,NA,108,NA,3541.2655800000002,22,1,1,2,2,1998,01
